event,table,Date,Time,home_team,away_team,home_score,away_score,home_seed,away_seed
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/28,10:30 AM,North Carolina (7),Case Western Reserve (18),16,15,7,18
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/28,12:30 PM,Florida State (14),Case Western Reserve (18),15,11,14,18
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/28,2:30 PM,North Carolina (7),Colorado (11),12,15,7,11
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/28,2:30 PM,Oregon (2),Florida State (14),15,11,2,14
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Fri 5/27,10:30 AM,Wisconsin (6),Michigan (15),15,9,6,15
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Fri 5/27,10:30 AM,Harvard (10),Connecticut (19),15,10,10,19
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Fri 5/27,2:30 PM,North Carolina-Wilmington (3),Wisconsin (6),11,15,3,6
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Fri 5/27,2:30 PM,Harvard (10),Michigan (15),13,15,10,15
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Fri 5/27,4:30 PM,North Carolina-Wilmington (3),Connecticut (19),12,15,3,19
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Sat 5/28,8:30 AM,Michigan (15),Connecticut (19),12,9,15,19
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Sat 5/28,10:30 AM,North Carolina-Wilmington (3),Harvard (10),12,15,3,10
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Sat 5/28,10:30 AM,Wisconsin (6),Connecticut (19),15,9,6,19
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Sat 5/28,2:30 PM,North Carolina-Wilmington (3),Michigan (15),14,12,3,15
