Rank,Team,Power Rating,Competition Level,Gender Division,Competition Division,City,State,Wins,Losses,dataset_id,season
107,Dartmouth ,1248,College,Men,Division I,Hanover,NH,16,13,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
108,Oberlin ,1246,College,Men,Division III,Oberlin,OH,17,9,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
109,Kennesaw State ,1243,College,Men,Division I,Kennesaw,GA,10,9,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
110,Southern California ,1237,College,Men,Division I,Los Angeles,CA,10,13,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
111,Elon ,1234,College,Men,Division III,Elon,NC,15,10,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
112,Emory ,1228,College,Men,Division I,Atlanta,GA,15,13,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
113,San Diego State ,1222,College,Men,Division I,San Diego,CA,16,21,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
114,Montana ,1222,College,Men,Division I,Missoula,MT,8,8,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
115,Minnesota-Duluth ,1215,College,Men,Division I,Duluth,MN,16,15,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
116,Bates ,1210,College,Men,Division III,Lewiston,ME,21,7,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
117,Utah State ,1204,College,Men,Division I,Logan,UT,13,6,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
118,South Florida ,1203,College,Men,Division I,Tampa,FL,11,20,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
119,Alabama ,1201,College,Men,Division I,Tuscaloosa,AL,14,18,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
120,North Carolina-Charlotte ,1201,College,Men,Division I,Charlotte,NC,9,11,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
121,Boston College ,1194,College,Men,Division I,Chestnut Hill,MA,14,14,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
122,Shippensburg ,1194,College,Men,Division I,Shippensburg,PA,21,12,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
123,Georgia B ,1192,College,Men,Developmental,Athens,GA,18,3,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
124,Puget Sound ,1192,College,Men,Division III,Tacoma,WA,14,11,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
125,Nevada-Reno ,1188,College,Men,Division I,Reno,NV,20,13,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
126,Portland ,1188,College,Men,Division III,Portland,OR,17,9,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
127,Montana State  ,1188,College,Men,Division I,Bozeman,MT,10,17,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
128,Loyola-Chicago ,1182,College,Men,Division I,Chicago,IL,17,11,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
129,West Chester ,1173,College,Men,Division I,West Chester,PA,15,15,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
130,RIT ,1172,College,Men,Division I,Rochester,NY,23,5,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
131,Dayton ,1168,College,Men,Division I,Dayton,OH,19,13,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
132,Illinois State ,1163,College,Men,Division I,Normal,IL,14,12,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
133,Johns Hopkins ,1162,College,Men,Division I,Baltimore,MD,18,12,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
134,Bentley ,1159,College,Men,Division III,Waltham,MA,18,11,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
135,Villanova ,1157,College,Men,Division I,Villanova,PA,16,17,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
136,Pittsburgh B ,1156,College,Men,Developmental,Pittsburgh,PA,23,7,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
137,Messiah ,1156,College,Men,Division III,Mechanicsburg,PA,22,10,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
138,Indiana ,1150,College,Men,Division I,Bloomington,IN,16,21,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
